#,Company,Symbol,Portfolio%,      Price,Chg,% Chg
1,Microsoft Corp,MSFT,7.40%,   406.32,-8.94,(-2.15%)
2,Apple Inc.,AAPL,6.54%,   185.04,-2.11,(-1.13%)
3,Nvidia Corp,NVDA,4.22%,   721.28,-1.2,(-0.17%)
4,Amazon.com Inc,AMZN,3.76%,   168.64,-3.7,(-2.15%)
5,"Meta Platforms, Inc. Class A",META,2.46%,   460.12,-8.78,(-1.87%)
6,Alphabet Inc. Class A,GOOGL,2.09%,   145.14,-2.39,(-1.62%)
8,Berkshire Hathaway Class B,BRK.B,1.72%,   394.80,-2.91,(-0.73%)
9,Eli Lilly & Co.,LLY,1.40%,   742.97,5.71,-0.77%
10,Broadcom Inc.,AVGO,1.33%,"   1,251.65",-13.35,(-1.06%)
11,"Tesla, Inc.",TSLA,1.27%,   184.02,-4.11,(-2.18%)
12,Jpmorgan Chase & Co.,JPM,1.20%,   174.26,-1.53,(-0.87%)
13,Unitedhealth Group Incorporated,UNH,1.13%,   516.85,-0.79,(-0.15%)
14,Visa Inc.,V,1.04%,   275.81,0.74,-0.27%
15,Exxon Mobil Corporation,XOM,0.97%,   101.34,-1.83,(-1.77%)
16,Mastercard Incorporated,MA,0.90%,   460.46,1.75,-0.38%
17,Johnson & Johnson,JNJ,0.89%,   156.47,-1.38,(-0.87%)
18,Procter & Gamble Company,PG,0.88%,   156.27,-0.84,(-0.53%)
19,"Home Depot, Inc.",HD,0.86%,   357.59,-7.86,(-2.15%)
20,Costco Wholesale Corp,COST,0.76%,   714.25,-8.16,(-1.13%)
21,"Merck & Co., Inc.",MRK,0.75%,   125.43,0.09,-0.07%
22,Abbvie Inc.,ABBV,0.73%,   173.29,0.22,-0.13%
23,Adobe Inc.,ADBE,0.68%,   601.89,-9.95,(-1.63%)
24,"Salesforce, Inc.",CRM,0.67%,   281.15,-6.17,(-2.15%)
25,Advanced Micro Devices,AMD,0.66%,   171.54,-0.37,(-0.22%)
26,Chevron Corporation,CVX,0.63%,   150.60,-1.48,(-0.97%)
27,Netflix Inc,NFLX,0.58%,   554.52,-3.33,(-0.60%)
28,Walmart Inc.,WMT,0.57%,   169.14,-1.16,(-0.68%)
29,Accenture Plc,ACN,0.55%,   362.81,-4.62,(-1.26%)
30,Coca-Cola Company,KO,0.55%,   59.35,-0.35,(-0.59%)
31,"Pepsico, Inc.",PEP,0.55%,   168.88,-1.73,(-1.01%)
32,Bank of America Corporation,BAC,0.54%,   32.75,-0.87,(-2.59%)
33,"Thermo Fisher Scientific, Inc.",TMO,0.50%,   538.60,-8.26,(-1.51%)
34,Mcdonald's Corporation,MCD,0.50%,   287.11,-2.33,(-0.81%)
35,Linde Plc,LIN,0.48%,   416.25,-3.36,(-0.80%)
36,"Cisco Systems, Inc.",CSCO,0.48%,   49.64,-0.35,(-0.70%)
37,The Walt Disney Company,DIS,0.47%,   110.46,1.17,-1.07%
38,Abbott Laboratories,ABT,0.46%,   111.34,-1.19,(-1.06%)
39,Oracle Corp,ORCL,0.44%,   113.68,-2.16,(-1.86%)
40,Intuit Inc,INTU,0.44%,   638.29,-18.7,(-2.85%)
41,Intel Corp,INTC,0.43%,   43.16,-0.87,(-1.98%)
42,Wells Fargo & Co.,WFC,0.41%,   48.24,-0.68,(-1.39%)
43,International Business Machines Corporation,IBM,0.40%,   183.70,-2.46,(-1.32%)
44,Comcast Corp,CMCSA,0.40%,   41.85,-0.76,(-1.78%)
45,Qualcomm Inc,QCOM,0.40%,   150.04,-3.06,(-2.00%)
46,Verizon Communications,VZ,0.40%,   40.13,0.03,-0.07%
47,"Servicenow, Inc.",NOW,0.39%,   773.76,-13.59,(-1.73%)
48,Caterpillar Inc.,CAT,0.38%,   312.84,-8.79,(-2.73%)
49,Danaher Corporation,DHR,0.38%,   241.53,-5.3,(-2.15%)
50,Amgen Inc,AMGN,0.37%,   290.48,-3.95,(-1.34%)
51,Pfizer Inc.,PFE,0.37%,   26.97,-0.69,(-2.49%)
52,Applied Materials Inc,AMAT,0.37%,   180.31,-5.23,(-2.82%)
53,Union Pacific Corp.,UNP,0.36%,   245.61,-1.79,(-0.72%)
54,General Electric Company,GE,0.36%,   141.77,1.6,-1.14%
55,Texas Instruments Incorporated,TXN,0.35%,   156.85,-4.23,(-2.63%)
56,Uber Technologies Inc,UBER,0.35%,   0.00,0,0.00%
57,S&p Global Inc.,SPGI,0.34%,   422.48,-7.05,(-1.64%)
58,Philip Morris International Inc.,PM,0.33%,   89.19,-0.81,(-0.90%)
59,Intuitive Surgical Inc.,ISRG,0.32%,   378.89,-3.24,(-0.85%)
60,Conocophillips,COP,0.31%,   109.77,-1.33,(-1.20%)
61,Booking Holdings Inc.,BKNG,0.31%,"   3,747.61",-42.62,(-1.12%)
62,Rtx Corporation,RTX,0.31%,   90.59,-0.55,(-0.60%)
63,"Honeywell International, Inc.",HON,0.30%,   194.01,-3.34,(-1.69%)
64,Lowe's Companies Inc.,LOW,0.30%,   225.43,-4.43,(-1.93%)
65,"Nike, Inc.",NKE,0.30%,   105.00,-2.18,(-2.03%)
66,Goldman Sachs Group Inc.,GS,0.30%,   378.75,-13.89,(-3.54%)
67,"Prologis, Inc.",PLD,0.29%,   130.88,-1.17,(-0.89%)
68,American Express Company,AXP,0.29%,   209.67,-2.59,(-1.22%)
69,At&t Inc.,T,0.29%,   16.90,-0.12,(-0.71%)
70,Lam Research Corp,LRCX,0.28%,   892.59,-15.41,(-1.70%)
71,"Elevance Health, Inc.",ELV,0.28%,   505.31,0.07,-0.01%
72,Boeing Company,BA,0.28%,   204.46,-4.87,(-2.33%)
73,"Palo Alto Networks, Inc.",PANW,0.28%,   368.26,-3.71,(-1.00%)
74,"Nextra Energy, Inc.",NEE,0.27%,   55.25,-2.3,(-4.00%)
75,Stryker Corporation,SYK,0.27%,   339.80,-1.29,(-0.38%)
76,Medtronic Plc,MDT,0.27%,   83.59,-1.48,(-1.74%)
77,"Tjx Companies, Inc.",TJX,0.27%,   97.96,-0.12,(-0.12%)
78,"Blackrock, Inc.",BLK,0.26%,   778.07,-23.69,(-2.95%)
79,Starbucks Corp,SBUX,0.26%,   93.87,-1.6,(-1.68%)
80,"Eaton Corporation, Plcs",ETN,0.26%,   272.38,-1.67,(-0.61%)
81,Vertex Pharmaceuticals Inc,VRTX,0.26%,   416.04,-2.49,(-0.59%)
82,Morgan Stanley,MS,0.26%,   83.97,-2.9,(-3.34%)
83,Progressive Corporation,PGR,0.25%,   182.08,-0.28,(-0.15%)
84,"United Parcel Service, Inc. Class B",UPS,0.25%,   144.90,-2.55,(-1.73%)
85,Citigroup Inc.,C,0.24%,   52.76,-1.16,(-2.15%)
86,Automatic Data Processing,ADP,0.24%,   249.59,-0.48,(-0.19%)
87,Deere & Company,DE,0.24%,   379.27,-10.12,(-2.60%)
88,Regeneron Pharmaceuticals Inc,REGN,0.24%,   940.48,-6.58,(-0.69%)
89,Bristol-Myers Squibb Co.,BMY,0.24%,   48.71,-1.04,(-2.09%)
90,Chubb Limited,CB,0.24%,   246.82,-1.19,(-0.48%)
91,"Mondelez International, Inc. Class A",MDLZ,0.24%,   71.98,-1.52,(-2.07%)
92,Cvs Health Corporation,CVS,0.23%,   76.59,-0.7,(-0.91%)
93,The Cigna Group,CI,0.23%,   337.42,0.17,-0.05%
94,"Marsh & Mclennan Companies, Inc.",MMC,0.23%,   196.47,0.28,-0.14%
95,"Analog Devices, Inc.",ADI,0.23%,   184.69,-9.36,(-4.82%)
96,Boston Scientific Corp.,BSX,0.23%,   64.97,-0.02,(-0.03%)
97,The Charles Schwab Corporation,SCHW,0.22%,   62.71,-1.79,(-2.78%)
98,Lockheed Martin Corp.,LMT,0.22%,   426.52,-1.55,(-0.36%)
99,"Micron Technology, Inc.",MU,0.22%,   81.53,-4.17,(-4.87%)
100,Gilead Sciences Inc,GILD,0.22%,   73.53,-0.92,(-1.24%)
101,Blackstone Inc.,BX,0.21%,   124.95,-5.13,(-3.94%)
